URL,Title
https://clinicaltrials.gov/search?cond=Obesity&aggFilters=phase%3A3&sort=StudyFirstPostDate&limit=100,New Phase 3 obesity studies (ClinicalTrials.gov)
https://clinicaltrials.gov/study/NCT07311850,Trial record example (replace with your NCT)
https://www.pfizer.com/science/drug-product-pipeline,Pfizer pipeline
https://www.novartis.com/research-development/novartis-pipeline?page=0,Novartis pipeline p1
https://www.novartis.com/research-development/novartis-pipeline?page=1,Novartis pipeline p2
https://euclinicaltrials.eu/ctis-public/view/2025-523657-34-00,CTIS trial record (example)
https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,FDA novel drug approvals 2026
https://www.fda.gov/advisory-committees/advisory-committee-calendar,FDA advisory committee calendar
https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/compliance-actions-and-activities/warning-letters,FDA warning letters
https://www.ema.europa.eu/en/news,EMA news / CHMP outcomes
https://www.fda.gov/drugs/warning-letters-and-notice-violation-letters-pharmaceutical-companies/untitled-letters,FDA OPDP untitled letters
https://meetings.asco.org/abstracts-presentations,ASCO abstracts & presentations
https://www.esmo.org/meeting-calendar/esmo-congress-2026/programme,ESMO Congress 2026 programme
https://www.aacr.org/meeting/aacr-annual-meeting-2027/,AACR Annual Meeting 2027
https://www.nice.org.uk/guidance/indevelopment/gid-ta11221,NICE appraisal example (replace with your GID)
https://www.cda-amc.ca/reimbursement-review-reports,CDA-AMC reimbursement reviews
https://www.g-ba.de/themen/arzneimittel/arzneimittel-richtlinie-anlagen/nutzenbewertung-35a/,G-BA §35a benefit assessments
https://icer.org/explore-our-research/assessments/,ICER assessments
https://www.nccn.org/updates,NCCN guideline updates
https://www.pfizer.com/newsroom/press-releases,Pfizer press releases
https://investor.lilly.com/webcasts-and-presentations,Lilly webcasts & presentations
https://www.pfizer.com/,Pfizer homepage campaign messaging
https://www.cvshealth.com/services,CVS Health service and availability announcements
